# time [s];Channel 0;Channel 1;Channel 2;Channel 3;Channel 4;Channel 5
2.881000;0.454154;0.455299;-0.001144;-0.389670;-30.000000;-0.019669
2.882000;0.450111;0.455116;-0.005005;-0.389705;-30.000000;-0.026080
2.883000;0.447852;0.455802;-0.007950;-0.389753;-30.000000;-0.036332
2.884000;0.449454;0.456458;-0.007004;-0.389813;-30.000000;-0.045186
2.886000;0.453452;0.456382;-0.002930;-0.389878;-30.000000;-0.048490
2.887000;0.457160;0.456214;0.000946;-0.389940;-30.000000;-0.046582
2.888000;0.459037;0.455940;0.003098;-0.389996;-30.000000;-0.041831
2.890000;0.458259;0.455879;0.002380;-0.390047;-30.000000;-0.038099
2.891000;0.455344;0.455665;-0.000320;-0.390097;-30.000000;-0.038019
2.892000;0.450965;0.455436;-0.004471;-0.390155;-30.000000;-0.043473
2.893000;0.446860;0.454917;-0.008057;-0.390227;-30.000000;-0.053636
2.895000;0.445884;0.455360;-0.009476;-0.390314;-30.000000;-0.065555
2.896000;0.445350;0.456199;-0.010849;-0.390420;-30.000000;-0.079147
2.897000;0.443336;0.457221;-0.013886;-0.390549;-30.000000;-0.096606
2.899000;0.441718;0.457832;-0.016114;-0.390704;-30.000000;-0.116802
2.900000;0.441871;0.457877;-0.016007;-0.390762;-30.000000;-0.043254
2.901000;0.445090;0.457832;-0.012741;-0.390842;-30.000000;-0.059665
2.902000;0.449866;0.457191;-0.007324;-0.390933;-30.000000;-0.068636
2.904000;0.453193;0.456077;-0.002884;-0.391028;-30.000000;-0.071566
2.905000;0.454124;0.454658;-0.000534;-0.391124;-30.000000;-0.071324
2.906000;0.453925;0.454154;-0.000229;-0.391218;-30.000000;-0.070678
2.907000;0.452720;0.454582;-0.001862;-0.391314;-30.000000;-0.072218
2.909000;0.451408;0.455833;-0.004425;-0.391417;-30.000000;-0.077155
2.910000;0.450919;0.456626;-0.005707;-0.391529;-30.000000;-0.083735
2.911000;0.450019;0.456886;-0.006867;-0.391651;-30.000000;-0.091774
2.913000;0.450095;0.457038;-0.006943;-0.391784;-30.000000;-0.099808
2.914000;0.451865;0.457420;-0.005554;-0.391925;-30.000000;-0.105883
2.915000;0.454582;0.458167;-0.003586;-0.391946;-30.000000;-0.015919
2.916000;0.456657;0.458946;-0.002289;-0.391971;-30.000000;-0.018758
2.918000;0.457099;0.459327;-0.002228;-0.392000;-30.000000;-0.021479
2.919000;0.456992;0.459663;-0.002670;-0.392033;-30.000000;-0.024753
2.920000;0.456779;0.459556;-0.002777;-0.392071;-30.000000;-0.028125
2.922000;0.456458;0.458824;-0.002365;-0.392112;-30.000000;-0.030904
2.923000;0.455604;0.458198;-0.002594;-0.392157;-30.000000;-0.033951
2.924000;0.454337;0.458061;-0.003723;-0.392208;-30.000000;-0.038462
2.925000;0.453056;0.458244;-0.005188;-0.392268;-30.000000;-0.044867
2.927000;0.451835;0.458351;-0.006516;-0.392339;-30.000000;-0.052956
2.928000;0.449332;0.458106;-0.008774;-0.392424;-30.000000;-0.063949
2.929000;0.446586;0.457359;-0.010773;-0.392527;-30.000000;-0.077460
2.930000;0.445243;0.456611;-0.011368;-0.392649;-30.000000;-0.091584
2.932000;0.445716;0.456184;-0.010468;-0.392789;-30.000000;-0.104320
2.933000;0.445884;0.455390;-0.009506;-0.392818;-30.000000;-0.022271
2.934000;0.444892;0.454566;-0.009674;-0.392865;-30.000000;-0.034873
2.936000;0.443107;0.454170;-0.011063;-0.392930;-30.000000;-0.049158
2.937000;0.438911;0.454032;-0.015122;-0.393022;-30.000000;-0.068665
2.938000;0.435508;0.453910;-0.018402;-0.393145;-30.000000;-0.092286
2.939000;0.440146;0.454108;-0.013962;-0.393291;-30.000000;-0.109672
2.941000;0.449500;0.454551;-0.005051;-0.393320;-30.000000;-0.021610
2.942000;0.457298;0.454688;0.002609;-0.393344;-30.000000;-0.017843
2.943000;0.461601;0.454932;0.006668;-0.393355;-30.000000;-0.008714
2.945000;0.462745;0.454994;0.007752;-0.393353;-30.000000;0.001737
2.946000;0.461830;0.455375;0.006455;-0.393339;-30.000000;0.010320
2.947000;0.457893;0.455329;0.002564;-0.393321;-30.000000;0.013601
2.948000;0.451301;0.455268;-0.003967;-0.393310;-30.000000;0.008129
2.950000;0.445243;0.454932;-0.009689;-0.393317;-30.000000;-0.004898
2.951000;0.440742;0.454765;-0.014023;-0.393348;-30.000000;-0.023530
2.952000;0.439445;0.454871;-0.015427;-0.393407;-30.000000;-0.043786
2.954000;0.445304;0.455207;-0.009903;-0.393482;-30.000000;-0.056406
2.955000;0.454643;0.455604;-0.000961;-0.393558;-30.000000;-0.056936
2.956000;0.461143;0.455558;0.005585;-0.393623;-30.000000;-0.048730
